GEO LEVEL,GEO COMPARISON,YEAR,GEO UNIT,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,E_TOTPOP,E_NOVEH,NOVEH_PER,E_POV150,POV150_PER,E_AGE65,AGE65_PER,E_AGE17,AGE17_PER
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089010100,1704,194,0.1138497653,518,0.3039906103,253,0.1484741784,172,0.1009389671
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089010200,2458,135,0.05492270138,795,0.3234336859,422,0.1716842962,404,0.1643612693
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089010300,4370,91,0.02082379863,1071,0.2450800915,490,0.1121281465,1194,0.2732265446
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089010400,4450,68,0.01528089888,1005,0.2258426966,718,0.1613483146,906,0.2035955056
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089010500,5344,247,0.04622005988,1929,0.3609655689,700,0.130988024,1254,0.2346556886
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089010601,2407,17,0.007062733693,292,0.1213128376,668,0.2775238887,450,0.1869547154
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089010602,5215,129,0.02473633749,670,0.1284755513,1300,0.2492809204,1185,0.2272291467
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089010603,1421,0,0,138,0.09711470795,323,0.227304715,415,0.2920478536
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089010702,2998,154,0.05136757839,713,0.2378252168,685,0.2284856571,600,0.2001334223
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089010703,3681,241,0.06547133931,1125,0.3056234719,950,0.2580820429,536,0.1456126053
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089010704,3681,292,0.07932627004,1464,0.3977180114,971,0.2637870144,677,0.1839174137
Tract,state,2020,tract,6,California,CA,6089,Shasta County,6089010803,5799,293,0.05052595275,1760,0.3035006036,791,0.1364028281,1389,0.2395240559
