tree,Latitude (y),Longitude (x),Tree species ,Natrual Atributes,Hieght (cm),Condition (1-10),Notes,Plot number,Photo,tree 1
1,10.27646,-84.80742,Cenizaro Blanco (Samanea saman),Nitrogen fixing,,10,,,,
2,10.27642,-84.80744,Espavel (Anacardium excelsum),"attracts bats (wild cashew fruit), Fruits attract fauna",,8,,,,
3,10.27643,-84.80747,Cirri Blanco (Tapirira Mexicana) ,Fruits,,8,,,,
4,10.27644,-84.8075,Espavel (Anacardium excelsum),"attracts bats (wild cashew fruit), Fruits attract fauna",,9,Possibly two growing next to eachother,,,
5,10.27654,-84.80755,Cedro Amargo (Cedrela odorata),Timber,,9,,,,
6,10.27634,-84.80772,Aceituno (Simarouba amara),"does well in high sun + poor soil, also in shade + good soil, attracts insects + pollinators, good for forest reestablishment and soil recuperation, High sun, Low sun, Soil Stabilizer, Fruits attract fauna",,9,,,,
7,10.27629,-84.80764,Espavel (Anacardium excelsum),"attracts bats (wild cashew fruit), Fruits attract fauna",,6,,,,
8,10.27631,-84.80762,Guachipelin (Diphysa americana),"living fences, attract insects and birds, good for epiphytes, Nitrogen fixing",,9,,,,
9,10.27629,-84.80779,Espavel (Anacardium excelsum),"attracts bats (wild cashew fruit), Fruits attract fauna",,7,Ants getting to leaves,,,
10,10.27622,-84.80771,Cirri Blanco (Tapirira Mexicana) ,Fruits,,8,,,,
11,10.2763,-84.80778,Cedro Amargo (Cedrela odorata),Timber,,7,leaf cutter ants,,,
12,10.27629,-84.80761,Espavel (Anacardium excelsum),"attracts bats (wild cashew fruit), Fruits attract fauna",,6,,,,
13,10.2742,-84.80751,Guachipelin (Diphysa americana),"living fences, attract insects and birds, good for epiphytes, Nitrogen fixing",,5,,,,
14,10.27618,-84.80758,Cedro Amargo (Cedrela odorata),Timber,,6,lead cutter ants,,,
15,10.27616,-84.80756,Espavel (Anacardium excelsum),"attracts bats (wild cashew fruit), Fruits attract fauna",,3,,,,
